Title,Description,Tags
Community Care Apartments,Senior-friendly housing integrated with care services to support seniors who are 65 and above to age independently within the community.,Home ownership
SkillsFuture Advice,"A webinar that helps you learn about SkillsFuture programmes, MySkillsFuture portal and funding support.","Jobseekers, Webinars, Workers"
Mid-Career Pathways Programme (MCPP),"A full-time attachment programme for mature, mid-career individuals seeking a career switch. Applicants are attached to a host organisation for 4-6 months to gain industry-relevant skills and experience.","Budget 2022, Mid-career"
Skills & Training Advisory Services,Receive personalised advice on your skills and training needs through one-to-one consultations with Skills Ambassadors.,"1 to 1, Jobseekers, Workers"
,,", "
,,
,,", , "
,,
,,", "
,,", "
,,
,,", "
,,", "
,,", "
,,", , "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,
,,", , "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", , "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,
,,", "
,,", "
,,", "
,,", , "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", , "
,,", "
,,
,,", "
,,", "
,,", "
,,", "
,,
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", "
,,", , "
,,", , "
,,", "
,,", "
,,", "
,,", "
,,", , "
,,", "
